No,sentence,info__snippets,info__target,info_sentiment_score,info_aspects,preprocessed_sentence,numerical_info,encoded_values,sentiment_scores_for_numerical_encoded_values,trend,embedded_aspect,predicted_sentiment_probability_after_attention_mechanism
784.0,CompaniesCar insurer Hastings Group driving Â£180m IPO,['driving Â£180m IPO'],Hastings Group,0.302,['Stock/IPO'],companiescar insurer hastings group drive â£180 m ipo,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Hastings Group,[0.45177174 0.2679203  0.28030786]
808.0,Glencore slumps 25 pct as debt fears grow,['debt fears grow'],Glencore,-0.718,['Corporate/Risks'],glencore slump 25 pct debt fear grow,"[{'value': '25', 'type': 'cardinal', 'aspect': 'fear', 'dependency_type': 'nummod'}]","tensor([[-0.8409,  1.3968, -0.5637]], grad_fn=<CatBackward0>)",[[-0.840868   1.3967822 -0.5636614]],decrease,slump Glencore,[0.32702905 0.38181123 0.29115975]
815.0,Horizonte acquires neighbouring Glencore nickel property in Brazil,['e acquires neighbouring Glencore nickel property'],Horizonte,0.182,['Corporate/M&A/M&A'],horizonte acquire neighbouring glencore nickel property brazil,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Horizonte,[0.29687452 0.40156713 0.30155838]
820.0,UPDATE 1-Engineering firm Smiths Group confirms CEO appointment,['confirms CEO appointment'],Morrissons,0.078,['Corporate/Appointment'],update 1 engineering firm smith group confirm ceo appointment,"[{'value': '1', 'type': 'cardinal', 'aspect': 'group', 'dependency_type': 'nummod'}]","tensor([[ 0.0584, -0.0858, -0.0869]], grad_fn=<CatBackward0>)",[[ 0.05843232 -0.08583678 -0.08687651]],,Morrissons,[0.35517687 0.2915145  0.35330865]
821.0,Industry NewsMorrisons unveils which stores will close as 900 jobs face the axe,['unveils which stores will close as 900 jobs face the axe'],Morrissons,-0.731,['Corporate/Company Communication'],industry newsmorrison unveil store close 900 job face axe,"[{'value': '900', 'type': 'cardinal', 'aspect': 'job', 'dependency_type': 'nummod'}]","tensor([[-33.1328,  55.2555, -18.7252]], grad_fn=<CatBackward0>)",[[-33.13283   55.255524 -18.725174]],,Morrissons,[0.37870678 0.3249104  0.2963829 ]
827.0,Glencore slumps 30 percent as debt fears grow,['debt fears grow'],Glencore,-0.781,['Corporate/Risks'],glencore slump 30 percent debt fear grow,"[{'value': '30', 'type': 'percentage', 'aspect': 'percent', 'dependency_type': 'nummod'}]","tensor([[0., 0., 0.]])",[[0. 0. 0.]],decrease,slump Glencore,[0.38877177 0.29413012 0.31709802]
833.0,Aberdeen Asset Management Gains Foothold In China,['Gains Foothold In China'],Aberdeen Asset Managment,0.357,['Corporate/Strategy'],aberdeen asset management gain foothold china,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],increase,gain Aberdeen Asset Managment,[0.31421447 0.31702614 0.3687594 ]
835.0,ARM Holdings plc Partners With International Business Machines Corp. To Drive ...,['Partners With International Business Machines Corp. To Drive'],ARM Holdings,0.273,['Corporate/Strategy'],arm holdings plc partner international business machines corp drive,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,ARM Holdings,[0.27286133 0.35531574 0.37182292]
,,['Partners With International Business Machines Corp'],IBM,0.345,['Corporate/Strategy'],,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,IBM,[0.3297156  0.27370548 0.39657894]
838.0,"FTSE 100 drops 2.5 pct on Glencore, metals price fears",['FTSE 100 drops 2.5 pct'],Glencore,-0.597,['Stock/Price Action'],ftse 100 drop 2.5 pct glencore metal price fear,"[{'value': '100', 'type': 'cardinal', 'aspect': 'drop', 'dependency_type': 'nummod'}, {'value': '2.5', 'type': 'cardinal', 'aspect': 'pct', 'dependency_type': 'nummod'}]","tensor([[-3.5877e+00,  6.0125e+00, -2.1140e+00, -4.7361e-03,  3.1792e-03,
         -1.1818e-01]], grad_fn=<CatBackward0>)","[[-3.5876660e+00  6.0125060e+00 -2.1139667e+00 -4.7361180e-03
   3.1791702e-03 -1.1817701e-01]]",decrease,drop Glencore,[0.360168   0.29777884 0.34205317]
840.0,"After Barclays and Bank of America, Citigroup has blockchain in sight",['Citigroup has blockchain in sight'],Barclays,0.198,['Corporate/Strategy/Investment'],barclay bank america citigroup blockchain sight,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Barclays,[0.2672657  0.3946414  0.33809295]
,,['Citigroup has blockchain in sight'],Citigroup,0.224,['Corporate/Strategy/Investment'],,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Citigroup,[0.30853865 0.45952114 0.23194027]
841.0,AB InBev approaches SABMiller to explore $250bn tie-up,['approaches SABMiller to explore $250bn tie-up'],SAB Miller,0.237,['Corporate/M&A/Proposed Merger'],ab inbev approach sabmiller explore $ 250bn tie,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,SAB Miller,[0.30452487 0.41084594 0.2846292 ]
847.0,EU regulator backs approval for GSK injectable asthma drug,['regulator backs approval for GSK'],GSK,0.379,['Corporate/Regulatory'],eu regulator back approval gsk injectable asthma drug,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,GSK,[0.47689554 0.21886279 0.3042417 ]
855.0,Glencore fight back over debt fears lifts shares,['over debt fears'],Glencore,0.278,['Corporate/Risks'],glencore fight debt fear lift share,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Glencore,[0.4259268 0.2832081 0.2908651]
856.0,"News FeedFTSE 100 movers: Ashtead jumps on strong interims; Glencore, BP in ...",['Ashtead jumps on strong interims'],Ashtead,0.461,['Stock/Fundamentals'],news feedftse 100 mover ashtead jump strong interim glencore bp,"[{'value': '100', 'type': 'cardinal', 'aspect': 'ashtead', 'dependency_type': 'nummod'}]","tensor([[-3.5877,  6.0125, -2.1140]], grad_fn=<CatBackward0>)",[[-3.587666   6.012506  -2.1139667]],increase,strong Ashtead,[0.33179155 0.28665116 0.3815573 ]
858.0,Brewer AB InBev seeks $275 bln tie-up with SABMiller,['seeks $275 bln tie-up with SABMiller'],SABMiller,0.295,['Corporate/M&A/Proposed Merger'],brewer ab inbev seek $ 275 bln tie sabmiller,"[{'value': '275', 'type': 'cardinal', 'aspect': 'sabmiller', 'dependency_type': 'nummod'}]","tensor([[-10.0494,  16.7844,  -5.7473]], grad_fn=<CatBackward0>)",[[-10.049366  16.78437   -5.747272]],,SABMiller,[0.35888007 0.3597407  0.28137913]
861.0,AB InBev looks to win over SABMiller investors,['looks to win over SABMiller investors'],SABMiller,0.276,['Corporate/M&A/Proposed Merger'],ab inbev look win sabmiller investor,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,SABMiller,[0.39174336 0.3550231  0.25323358]
863.0,UPDATE 1-EU regulator backs approval for GSK injectable asthma drug,['EU regulator backs approval for GSK'],GSK,0.418,['Corporate/Regulatory'],update 1 eu regulator back approval gsk injectable asthma drug,"[{'value': '1', 'type': 'cardinal', 'aspect': 'regulator', 'dependency_type': 'nummod'}]","tensor([[ 0.0584, -0.0858, -0.0869]], grad_fn=<CatBackward0>)",[[ 0.05843232 -0.08583678 -0.08687651]],,GSK,[0.3947404  0.26359    0.34166953]
866.0,Copper market may get a 2003-style supply shock from Glencore closures,['Copper market'],Glencore,-0.571,['Market/Market'],copper market 2003 style supply shock glencore closure,"[{'value': '2003', 'type': 'cardinal', 'aspect': 'glencore', 'dependency_type': 'nummod'}]","tensor([[-73.8705, 123.1494, -41.6286]], grad_fn=<CatBackward0>)",[[-73.87053  123.1494   -41.628574]],,Glencore,[0.37771338 0.275144   0.34714258]
872.0,TalkTalk hires BAE Systems to investigate cyber attack,['TalkTalk hires BAE Systems'],TalkTalk,-0.113,['Corporate/Appointment/Staff Hiring'],talktalk hire bae system investigate cyber attack,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,TalkTalk,[0.26098883 0.38030407 0.3587071 ]
876.0,Renewed AB InBev Bid for SABMiller Ups Stake in Beer Battle,['AB InBev Bid for SABMiller Ups Stake'],SAB Miller,0.236,['Corporate/M&A/M&A'],renew ab inbev bid sabmiller up stake beer battle,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],increase,up SAB Miller,[0.30890802 0.34414348 0.34694847]
879.0,CompaniesAB InBev signals it won't go hostile for SABMiller,['signals it won't go hostile'],SAB Miller,0.107,['Corporate/Rumors/Scoop'],companiesab inbev signal will hostile sabmiller,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,SAB Miller,[0.34097454 0.35986197 0.2991635 ]
885.0,AstraZeneca diabetes drug combination faces delay after FDA rebuff,['faces delay after FDA rebuf'],AstraZeneca,-0.391,['Corporate/Risks'],astrazeneca diabete drug combination face delay fda rebuff,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,AstraZeneca,[0.42155927 0.27301478 0.30542597]
891.0,Mylan Appoints Ranjan Ray Chaudhuri as Global Commercial Lead for Mylan's Over ...,['Appoints Ranjan Ray Chaudhuri as Global Commercial Lead'],Mylan,0.0,['Corporate/Appointment'],mylan appoint ranjan ray chaudhuri global commercial lead mylan,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Mylan,[0.3032513  0.34360006 0.35314867]
896.0,SABMiller revenue hit by weaker EM currencies,['hit by weaker EM currencies'],SAB Miller,-0.439,['Market/Currency'],sabmiller revenue hit weak em currency,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,SAB Miller,[0.304625   0.33478475 0.36059028]
897.0,UPDATE 5-SABMiller rejects AB InBev's $104 bln takeover approach,['rejects AB InBev's $104 bln takeover approach'],SAB Miller,0.172,['Corporate/M&A/Proposed Merger'],update 5 sabmiller reject ab inbev $ 104 bln takeover approach,"[{'value': '5', 'type': 'cardinal', 'aspect': 'sabmiller', 'dependency_type': 'nummod'}, {'value': '104', 'type': 'cardinal', 'aspect': 'approach', 'dependency_type': 'nummod'}]","tensor([[-0.0987,  0.1588, -0.1659, -3.7342,  6.2587, -2.1966]],
       grad_fn=<CatBackward0>)",[[-0.09873284  0.1588273  -0.16590275 -3.7341619   6.2586775  -2.1966498 ]],,SAB Miller,[0.40551436 0.29747456 0.29701108]
907.0,Market Report: Eight-day rally ends for FTSE 100 and Standard Chartered,['Market Report: Eight-day rally ends for FTSE 100'],Standard Chartered,0.008,['Market/Market'],market report eight day rally end ftse 100 standard charter,"[{'value': 'eight', 'type': 'cardinal', 'aspect': 'day', 'dependency_type': 'nummod'}, {'value': '100', 'type': 'cardinal', 'aspect': 'charter', 'dependency_type': 'nummod'}]","tensor([[-0.2115,  0.3456, -0.2232, -3.5877,  6.0125, -2.1140]],
       grad_fn=<CatBackward0>)",[[-0.2115289   0.34560505 -0.22317363 -3.587666    6.012506   -2.1139667 ]],increase,rally Standard Chartered,[0.3014914  0.3318404  0.36666816]
908.0,AB InBev offers SABMiller $3 billion breakup fee,['offers SABMiller $3 billion breakup fee'],SAB Miller,0.197,['Corporate/M&A/M&A'],ab inbev offer sabmiller $ 3 billion breakup fee,"[{'value': '3', 'type': 'cardinal', 'aspect': 'billion', 'dependency_type': None}, {'value': 'billion', 'type': 'cardinal', 'aspect': 'fee', 'dependency_type': 'nummod'}]","tensor([[-2.3535e-02,  3.4309e-02, -1.2772e-01, -3.6934e+07,  6.1554e+07,
         -2.0765e+07]], grad_fn=<CatBackward0>)","[[-2.3535475e-02  3.4308814e-02 -1.2772216e-01 -3.6933544e+07
   6.1553836e+07 -2.0764644e+07]]",,SAB Miller,[0.2970929  0.41234508 0.29056206]
912.0,GSK joins China trade push as UK trumpets healthcare deals,['joins China trade push'],GSK,0.294,['Economy/Trade'],gsk join china trade push uk trumpets healthcare deal,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,GSK,[0.3438907  0.34210265 0.3140067 ]
914.0,AB InBev ups offer for SABMiller as deadline looms,['ups offer for SABMiller'],SAB Miller,0.257,['Corporate/M&A/Proposed Merger'],ab inbev up offer sabmiller deadline loom,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],increase,up SAB Miller,[0.43627262 0.28470415 0.2790233 ]
919.0,Tesco PLC's Recovery Continues With A Â£250m Cash Infusion,['Tesco PLC's Recovery Continues'],Tesco,0.337,['Stock/Fundamentals'],tesco plc recovery continue â£250 m cash infusion,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Tesco,[0.32855722 0.3587458  0.31269693]
922.0,"METALS-Zinc surges 12 pct after Glencore cuts output, fuelling metals rally",['METALS-Zinc surges 12 pct after'],Glencore,0.162,['Market/Volatility'],metal zinc surge 12 pct glencore cut output fuel metal rally,"[{'value': '12', 'type': 'cardinal', 'aspect': 'pct', 'dependency_type': 'nummod'}]","tensor([[-0.3619,  0.5946, -0.2995]], grad_fn=<CatBackward0>)",[[-0.36192364  0.59464204 -0.29953483]],increase,surge Glencore,[0.3487416  0.3212869  0.32997152]
924.0,CompaniesUnilever sales lifted by ice cream in soft economy,['sales lifted by ice cream in soft economy'],Unilever,0.383,['Corporate/Sales'],companiesunilever sale lift ice cream soft economy,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Unilever,[0.28267857 0.35889846 0.3584229 ]
939.0,AB InBev's Latest Bid Said Unlikely to Win SABMiller's Approval,['Latest Bid Said Unlikely to Win SABMiller's Approval'],SABMiller,0.127,['Corporate/Rumors/Rumors'],ab inbev late bid say unlikely win sabmiller approval,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,SABMiller,[0.2899996  0.28673187 0.42326853]
941.0,Britain's FTSE forges ahead as Shire surges,['FTSE forges ahead as Shire surges'],Shire,0.512,['Stock/Price Action'],britain ftse forge ahead shire surge,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],increase,surge Shire,[0.3619772  0.32949328 0.3085295 ]
942.0,AB InBev attacks SABMiller bid rebuffal,['attacks SABMiller bid rebuffal'],SABMiller,-0.158,['Corporate/M&A/M&A'],ab inbev attack sabmiller bid rebuffal,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,SABMiller,[0.35973513 0.28331617 0.3569487 ]
943.0,Anheuser-Busch InBev Increases Offer for Rival SABMiller,['InBev Increases Offer for Rival SABMiller'],SABMiller,0.24,['Corporate/M&A/Proposed Merger'],anheuser busch inbev increase offer rival sabmiller,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],increase,increase SABMiller,[0.34740064 0.32073957 0.3318598 ]
945.0,Why I'd Buy ARM Holdings plc And BHP Billiton plc Today,['Why I'd Buy ARM Holdings plc And BHP Billiton plc Today'],BHP Billiton,0.424,['Corporate/Reputation/Scoop'],buy arm holdings plc bhp billiton plc today,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,BHP Billiton,[0.29600796 0.33785084 0.36614123]
946.0,Barclays PLC & Lloyds Banking Group PLC Are The 2 Banks I'd Buy Today,['Are The 2 Banks I'd Buy Today'],Lloyds,0.434,['Corporate/Reputation/Scoop'],barclays plc lloyds banking group plc 2 bank buy today,"[{'value': '2', 'type': 'cardinal', 'aspect': 'bank', 'dependency_type': 'nummod'}]","tensor([[ 0.0141, -0.0280, -0.1086]], grad_fn=<CatBackward0>)",[[ 0.01406322 -0.02795044 -0.10863185]],,Lloyds,[0.3001054  0.29343376 0.40646088]
952.0,EasyJet Dismisses Lufthansa Low-Cost Plan in Contest for Germany,['Dismisses Lufthansa Low-Cost Plan in Contest for Germany'],Lufthansa,-0.227,['Corporate/Risks/Price Competition'],easyjet dismisse lufthansa low cost plan contest germany,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],decrease,low Lufthansa,[0.35736904 0.3080431  0.3345879 ]
963.0,"EXCLUSIVE-BP, China's CNPC to unveil oil alliance - sources",['China's CNPC to unveil oil alliance - sources'],CNPC,0.318,['Corporate/Rumors/Scoop'],exclusive bp china cnpc unveil oil alliance source,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,CNPC,[0.3566651  0.31689504 0.32643986]
965.0,SAB's Chairman Digs In With Board Divided on InBev Offer,['Digs In With Board Divided on InBev Offer'],SABMiller,0.016,['Corporate/Reputation/Dispute'],sab chairman dig board divide inbev offer,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,SABMiller,[0.29404366 0.39431405 0.3116423 ]
966.0,Kinder Morgan and BP Form Joint Venture Limited Liability Company to Purchase ...,['form Joint Venture Limited Liability Company to Purchase ..'],Kinder Morgan,0.225,['Corporate/M&A/Joint Venture'],kinder morgan bp form joint venture limited liability company purchase,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Kinder Morgan,[0.33193237 0.37976316 0.28830448]
967.0,Supreme Court Upholds $236 Million Jury Award Against ExxonMobil,['$236 Million Jury Award Agains'],ExxonMobil,-0.459,['Corporate/Legal'],supreme court uphold $ 236 million jury award exxonmobil,"[{'value': '236', 'type': 'cardinal', 'aspect': 'million', 'dependency_type': None}, {'value': 'million', 'type': 'cardinal', 'aspect': 'award', 'dependency_type': 'nummod'}]","tensor([[-8.6090e+00,  1.4384e+01, -4.9375e+00, -3.6933e+04,  6.1554e+04,
         -2.0765e+04]], grad_fn=<CatBackward0>)","[[-8.6089563e+00  1.4383768e+01 -4.9374514e+00 -3.6933438e+04
   6.1553691e+04 -2.0764678e+04]]",,ExxonMobil,[0.32575327 0.36932197 0.3049247 ]
972.0,Standard Chartered's Shares Plunge 7% After Fitch Downgrade,['Shares Plunge 7%'],Standard Chartered,-0.812,['Stock/Coverage'],standard chartered share plunge 7 fitch downgrade,"[{'value': '7', 'type': 'cardinal', 'aspect': 'downgrade', 'dependency_type': 'nummod'}]","tensor([[-0.1739,  0.2833, -0.2041]], grad_fn=<CatBackward0>)",[[-0.1739302   0.28334582 -0.20408335]],decrease,plunge Standard Chartered,[0.45138633 0.24736336 0.30125025]
980.0,WPP wins race for 'programmatic buying' agency Essence Digital,['wins race for 'programmatic buying' agency Essence Digital'],WPP,0.238,['Corporate/M&A/M&A'],wpp win race programmatic buying agency essence digital,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,WPP,[0.29433694 0.30394703 0.40171608]
981.0,BHP Billiton share price: Brazil to sue Samarco for Â£3.5bn,['Brazil to sue Samarco for Â£3.5bn'],Samarco,-0.637,['Corporate/Legal/Lawsuit'],bhp billiton share price brazil sue samarco â£3.5bn,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Samarco,[0.29846743 0.32584113 0.3756914 ]
986.0,G4S slides on balance sheet worries,['slides on balance sheet worries'],G4S,-0.593,['Corporate/Risks'],g4s slide balance sheet worry,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,G4S,[0.43801147 0.22599281 0.33599567]
988.0,FDA approves AstraZeneca drug for advanced lung cancer,['FDA approves AstraZeneca'],AstraZeneca,0.507,['Corporate/Regulatory'],fda approve astrazeneca drug advanced lung cancer,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,AstraZeneca,[0.30019733 0.34580064 0.35400197]
991.0,HSBC appoints business leaders to board,['appoints business leaders to board'],HSBC,0.154,['Corporate/Appointment'],hsbc appoint business leader board,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,HSBC,[0.34028503 0.38843456 0.27128044]
999.0,"HSBC shakes up board with two new business chiefs, three departures","['shakes up board with two new business chiefs, three departures']",HSBC,-0.074,['Corporate/Appointment'],hsbc shake board two new business chief three departure,"[{'value': 'two', 'type': 'cardinal', 'aspect': 'departure', 'dependency_type': 'nummod'}, {'value': 'three', 'type': 'cardinal', 'aspect': 'departure', 'dependency_type': 'nummod'}]","tensor([[ 0.0141, -0.0280, -0.1086, -0.0235,  0.0343, -0.1277]],
       grad_fn=<CatBackward0>)",[[ 0.01406322 -0.02795044 -0.10863185 -0.02353548  0.03430881 -0.12772216]],,HSBC,[0.36919525 0.20913692 0.42166784]
1000.0,AstraZeneca wins FDA approval for key new lung cancer pill,['FDA approval for key new lung cancer pill'],AstraZeneca,0.549,['Corporate/Regulatory'],astrazeneca win fda approval key new lung cancer pill,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,AstraZeneca,[0.2626368  0.5080099  0.22935326]
1002.0,UPDATE 1-Lloyds to cut 945 jobs as part of 3-year restructuring plan,['cut 945 jobs as part of 3-year restructuring plan'],Lloyds,-0.266,['Corporate/Strategy'],update 1 lloyds cut 945 job 3 year restructuring plan,"[{'value': '1', 'type': 'cardinal', 'aspect': 'lloyds', 'dependency_type': 'nummod'}, {'value': '945', 'type': 'cardinal', 'aspect': 'job', 'dependency_type': 'nummod'}, {'value': '3', 'type': 'cardinal', 'aspect': 'year', 'dependency_type': 'nummod'}]","tensor([[ 5.8432e-02, -8.5837e-02, -8.6877e-02, -3.4795e+01,  5.8025e+01,
         -1.9660e+01, -2.3535e-02,  3.4309e-02, -1.2772e-01]],
       grad_fn=<CatBackward0>)","[[ 5.8432318e-02 -8.5836776e-02 -8.6876512e-02 -3.4794842e+01
   5.8025444e+01 -1.9659582e+01 -2.3535475e-02  3.4308814e-02
  -1.2772216e-01]]",decrease,cut Lloyds,[0.35979524 0.34190544 0.2982993 ]
1005.0,Standard Chartered Shifts Emerging-Markets Strategy After Losses,['Shifts Emerging-Markets Strategy'],Standard Chartered,-0.461,['Corporate/Strategy'],standard charter shift emerge market strategy loss,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Standard Chartered,[0.32599124 0.3639285  0.3100803 ]
1012.0,AstraZeneca's Lung Cancer Drug Tagrisso Gets FDA Approval,['Tagrisso Gets FDA Approval'],AstraZeneca,0.393,['Corporate/Appointment'],astrazeneca lung cancer drug tagrisso get fda approval,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,AstraZeneca,[0.3283081  0.3631375  0.30855435]
1016.0,Severn Trent share price rises as first half profit inches up as customer ...,['share price rises as first half profi'],Severn Trent,0.526,['Stock/Price Action'],severn trent share price rise first half profit inch customer,"[{'value': 'first', 'type': 'cardinal', 'aspect': 'customer', 'dependency_type': 'amod'}]","tensor([[ 0.0923, -0.1185, -0.1205]], grad_fn=<CatBackward0>)",[[ 0.09229714 -0.11852994 -0.12051044]],increase,rise Severn Trent,[0.31111464 0.36193538 0.32695004]
1022.0,Glencore sees Tripoli-based NOC as sole legal seller of Libyan oil,['as sole legal seller of Libyan oil'],Glencore,0.037,['Corporate/Legal'],glencore see tripoli base noc sole legal seller libyan oil,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Glencore,[0.3625476 0.3002544 0.3371979]
1023.0,Lloyds to cut 945 jobs as part of three-year restructuring strategy,['as part of three-year restructuring strategy'],Lloyds,-0.532,['Corporate/Strategy/Reorganization'],lloyds cut 945 job three year restructuring strategy,"[{'value': '945', 'type': 'cardinal', 'aspect': 'job', 'dependency_type': 'nummod'}, {'value': 'three', 'type': 'cardinal', 'aspect': 'year', 'dependency_type': 'nummod'}]","tensor([[-3.4795e+01,  5.8025e+01, -1.9660e+01, -2.3535e-02,  3.4309e-02,
         -1.2772e-01]], grad_fn=<CatBackward0>)","[[-3.4794842e+01  5.8025444e+01 -1.9659582e+01 -2.3535475e-02
   3.4308814e-02 -1.2772216e-01]]",decrease,cut Lloyds,[0.38747942 0.30557203 0.30694854]
1024.0,AstraZeneca to Buy ZS Pharma for $2.7 Billion,['to Buy ZS Pharma for $2.7 Billion'],ZS Pharma,0.593,['Corporate/M&A/M&A'],astrazeneca buy zs pharma $ 2.7 billion,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,ZS Pharma,[0.32526562 0.3221402  0.35259417]
1025.0,"Ackman, in email, says supports Valeant CEO Pearson","['in email, says supports']",Valeant,0.166,['Corporate/Company Communication'],ackman email say support valeant ceo pearson,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Valeant,[0.26605523 0.40097213 0.3329727 ]
1029.0,AstraZeneca sells US drug rights to Perrigo for $380 mln,['sells US drug rights to Perrigo for $380 mln'],Perrigo,0.326,['Corporate/M&A/M&A'],astrazeneca sell drug right perrigo $ 380 mln,"[{'value': '380', 'type': 'cardinal', 'aspect': 'mln', 'dependency_type': 'nummod'}]","tensor([[-13.9274,  23.2475,  -7.9276]], grad_fn=<CatBackward0>)",[[-13.927387  23.247522  -7.92756 ]],,Perrigo,[0.33531907 0.31777784 0.34690306]
1032.0,"UPDATE 1-AstraZeneca buys ZS Pharma for $2.7 billion, pips Actelion","['AstraZeneca buys ZS Pharma for $2.7 billion, pips Actelion']",ZS Pharma,0.468,['Corporate/M&A/M&A'],update 1 astrazeneca buy zs pharma $ 2.7 billion pip actelion,"[{'value': '1', 'type': 'cardinal', 'aspect': 'astrazeneca', 'dependency_type': 'nummod'}, {'value': 'billion', 'type': 'cardinal', 'aspect': 'actelion', 'dependency_type': 'nummod'}]","tensor([[ 5.8432e-02, -8.5837e-02, -8.6877e-02, -3.6934e+07,  6.1554e+07,
         -2.0765e+07]], grad_fn=<CatBackward0>)","[[ 5.8432318e-02 -8.5836776e-02 -8.6876512e-02 -3.6933544e+07
   6.1553836e+07 -2.0764644e+07]]",,ZS Pharma,[0.30223757 0.30807593 0.38968652]
1033.0,CORRECTED-Shire to buy Dyax for about $5.9 bln,['Shire to buy Dyax for about $5.9 bln'],Shire,0.402,['Corporate/M&A/M&A'],correct shire buy dyax $ 5.9 bln,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Shire,[0.34566227 0.3192407  0.33509701]
1037.0,Barclays poised to replace Sir Mike Rake as he heads for exit,['poised to replace Sir Mike Rake as he heads for exit'],Barclays,0.077,['Corporate/Appointment'],barclay poise replace sir mike rake head exit,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Barclays,[0.32814673 0.37834358 0.2935097 ]
1038.0,AstraZeneca Acquires ZS Pharma in $2.7 Billion Deal,['AstraZeneca Acquires ZS Pharma in $2.7 Billion Deal'],ZS Pharma,0.52,['Corporate/M&A/M&A'],astrazeneca acquire zs pharma $ 2.7 billion deal,"[{'value': 'billion', 'type': 'cardinal', 'aspect': 'deal', 'dependency_type': 'nummod'}]","tensor([[-36933544.,  61553836., -20764644.]], grad_fn=<CatBackward0>)",[[-36933544.  61553836. -20764644.]],,ZS Pharma,[0.2596909  0.34754533 0.3927638 ]
1039.0,AstraZeneca shares climb 3% as drug maker ups profits forecasts,['shares climb 3% as drug maker ups profits forecasts'],AstraZeneca,0.64,"['Stock/Price Action/Bullish', 'Corporate/Financial/Financial Results/Earnings']",astrazeneca share climb 3 drug maker up profit forecast,"[{'value': '3', 'type': 'cardinal', 'aspect': 'maker', 'dependency_type': 'nummod'}]","tensor([[-0.0235,  0.0343, -0.1277]], grad_fn=<CatBackward0>)",[[-0.02353548  0.03430881 -0.12772216]],increase,climb AstraZeneca,[0.3316615  0.28697363 0.3813649 ]
1040.0,Peroni and Grolsch put up for sale as AB InBev plans acquisition of SABMiller,['Peroni and Grolsch put up for sale as '],SABMiller,0.551,['Corporate/Sales/Sales'],peroni grolsch sale ab inbev plan acquisition sabmiller,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,SABMiller,[0.33918902 0.35511905 0.30569196]
1044.0,easyJet expects resilient demand to withstand security fears,['expects resilient demand to withstand security fears'],easyJet,0.165,['Corporate/Risks'],easyjet expect resilient demand withstand security fear,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,easyJet,[0.34967905 0.28470084 0.3656201 ]
1045.0,Compass Group says positive for year ahead,['says positive for year ahead'],Compass Group,0.634,['Stock/Price Action/Future Price/Direction'],compass group say positive year ahead,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Compass Group,[0.3008968  0.40845194 0.29065126]
